chanel,time,question,answer,intent,confidence
rasa,2020-08-06 17:53:15.845471,,,,
,2020-08-06 17:53:20.610391,hello,,greet,0.9996327757835388
,2020-08-06 17:53:20.612689,,"Hiện tại Meey Land có áp dụng phí cho Up tin, phí up tin cho các gói tin khác nhau. Bạn có thể xem bảng giá Up tin tại (copy đường link dẫn tới mục Báo giá)",,
rasa,2020-08-06 18:17:12.787498,,,,
,2020-08-06 18:17:13.076535,hello,,greet,0.9994975328445435
,2020-08-06 18:17:13.079325,,"Chào bạn, mình là MeeyBot. Mình giúp gì cho bạn ạ!",,
rasa,2020-08-06 18:32:20.646762,,,,
,2020-08-06 18:32:24.802385,hellio,,greet,0.9980872273445129
,2020-08-06 18:32:24.805749,,"Xin chào, mình là MeeyBot. Mình có thể giúp gì cho bạn ạ?",,
,2020-08-06 18:32:32.408710,cho hỏi mấy giờ rồi,,chitchat,0.9999812245368958
,2020-08-06 18:32:32.411528,,Cái này khó à nha,,
,2020-08-06 18:32:39.438857,giờ là mấy giờ thế,,chitchat,0.9999955892562866
,2020-08-06 18:32:39.441746,,Cái này khó à nha,,
,2020-08-06 18:32:55.702809,đẩy tin như nào á,,how_to_up_post,0.9995616674423218
,2020-08-06 18:32:55.705903,,"Để thực hiện up tin đăng trên meeyland.com, Người dùng hoàn thiện thông tin bài đăng tại mục 'Đăng tin' Tại giao diện 'Thông tin gói tin', người dùng chọn “Đẩy tin tự động” và “Tạo lịch đẩy tin” để lên lịch đẩy tin đăng",,
,2020-08-06 18:33:23.375698,làm sao để đăng tin,,how_create_new_post,0.9448540806770325
,2020-08-06 18:33:23.379300,,"Để đăng bài, bạn truy cập vào website meeyland.com, tại góc trên cùng bên phải màn hình trang chủ, chọn nút chức năng “Đăng bài” và thực hiện theo các bước sau: Bước 1: Lựa chọn mục đích đăng bài. Sau khi chọn được mục đích đăng bài: Nếu đã đăng nhập vào tài khoản, thực hiện theo bước tiếp theo Nếu chưa có tài khoản, đăng tin vãng lai, cửa sổ sẽ yêu cầu lựa chọn đối tượng đăng bài.
Bước 2: Nhập thông tin Bất động sản cần giao dịch tại màn hình “Đăng bài” Nhập đầy đủ các trường thông tin tại cột bên trái màn hình: bao gồm trường ''vị trí'', trường ''thông tin Bất động sản'', trường ''thông tin khác Tiêu đề: súc tích và đầy đủ thông tin, tối thiểu 6 ký tự, tối đa 100 ký tự Nội dung mô tả: giới hạn tối đa 5000 ký tự và không giới hạn ký tự tối thiểu. Thông tin liên hệ: bạn phải điền đầy đủ thông tin liên hệ để khách hàng liên lạc khi có nhu cầu. Tìm kiếm theo vị trí: Bạn nhập địa chỉ Bất động sản trong tin đăng, chọn theo gợi ý trong thanh tìm kiếm đưa ra, vị trí Bất động sản bạn đăng sẽ hiển thị trên bản đồ.
Bước 3: Hoàn tất đăng bài. Bạn có thể lưu nháp, xem trước bài đăng hoặc hoàn tất quá trình đăng bài bằng cách nhấp vào nút 'Đăng bài' ở cuối màn hình. ",,
